Title,Description,Category,Ingredients,Time_prep,Time_cook,Preparation,Image URL
Salade aux crottins de chèvre et aux pommes,N/A,Variantes,"{'Crottin de chèvre Rians': '2', 'Pomme(s)': '2', 'Crème fraîche': '4 c. à café', 'Ciboulette': '', 'Paprika': '', 'Sel poivre': ''}",Total :12 min,Total :12 min,"Étape 1Partagez les pommes en 2 et retirez la partie arrondie pour obtenir 2 tranches épaisses. Passez-les 1 à 2 min au micro-ondes.
Étape 2Coupez les crottins dans le sens de la largeur, posez chaque moitié sur une tranche de pomme, salez, poivrez.
Étape 3Remettez au micro-ondes 1 à 2 min. Ajoutez la crème, le paprika et la ciboulette. Servez avec une salade de mâche assaisonnée d'une vinaigrette au vinaigre de cidre.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i97624-salade-au-crottin-de-chevre-et-aux-pommes.jpg', 'alt': 'Salade au crottin de chèvre et aux pommes'}, 'fichiers_telecharges': ['images_tartiflette\\i97624-salade-au-crottin-de-chevre-et-aux-pommes.jpg']}"
Salade niçoise,"L’été arrive si on s’évadait sous le soleil azuréen pour manger une délicieuse et rafraîchissante salade niçoise sous un parasol. Exit haricots vert, pommes de terre et toutes autres ingrédients parasites. Cette salade se déguste sur le mythique cour Saleya de Nice.Voir plusVoir moins",Variantes,"{'Salade verte': '', 'Tomate(s)': '3', 'Cébette': '2', 'Radis': '', 'Œuf(s) dur(s)': '3', ""Thon à l'huile"": '1 Bocal / bocaux', 'Anchois': '6', 'Artichaut': '4', 'Poivron': '0,5', 'Olives noires': '', ""Huile d'olive"": '', 'Poivre du moulin': ''}",Total :10 min,Total :10 min,"Étape 1Coupez les tomates en quartier.
Étape 2Coupez les radis en lamelles dans le sens de la longueur.
Étape 3Coupez les artichauts en quatre.
Étape 4Taillez des lanières de poivron.
Étape 5Émincez les oignons cébette.
Étape 6Disposez des feuilles de salade dans le font d’un plat.
Étape 7Ajoutez les quartiers de tomates, le thon, les lanières de poivron, l’artichaut, les lamelles de radis.
Étape 8Mettez les œufs, les filets d’anchois.
Étape 9Ajoutez les olives.
Étape 10Versez un filet d’huile d’olive.
Étape 11Assaisonnez avec le poivre du moulin","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/default/default.jpg', 'alt': 'Salade niçoise'}, 'fichiers_telecharges': ['images_tartiflette\\default.jpg']}"
Verrine betterave rouge et avocat,"Que ce soit pour Noël, le Nouvel An ou toute autre occasion, c’est vous qui régalez et vous êtes à la recherche d'une idée de recette facile aux airs de fête ? Ces exquises verrines de betteraves rouges et d'avocat au croquant de sésame vont vous épater par leur duo de saveurs léger, onctueux et plein de fraicheur. Et leur goût subtilement sucré sera parfait en guise d'amuse-bouche, en entrée ou pourquoi pas en apéro dinatoire.Voir plusVoir moins",Variantes,"{'Betterave cuite': '250 g', 'Avocat(s)': '1', 'Citron(s)': '0,5', 'Crème fraîche': '4 c. à soupe', 'Vinaigre balsamique': '1 c. à café', 'Graines de sésame': '1 c. à soupe', 'Sel poivre': ''}",Total :15 min,Total :15 min,"Étape 1Commencez par préparer la mousse d'avocat. Pelez puis ôtez le noyau de votre avocat, puis mixez (ou écrasez à la fourchette) sa chair en y incorporant le jus du citron. Ajoutez pour finir 1 c. à soupe de crème fraîche, salez et poivrez.
Étape 2Continuez en préparant la mousse de betteraves. Tranchez votre betterave en morceaux, puis mixez-la avec la crème restante, puis ajoutez le vinaigre balsamique, salez et poivrez.
Étape 3Pour dresser vos verrines apéritives, mettez d'abord la mousse de betteraves rouges puis la crème d'avocat (vous pouvez alterner plusieurs couches si vous le souhaitez). Finissez en saupoudrant de graines de sésame, et réservez au réfrigérateur jusqu'au moment de servir.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2015/01/21/i113880-verrine-betterave-rouge-et-avocat.jpg', 'alt': 'Verrine betterave rouge et avocat'}, 'fichiers_telecharges': ['images_tartiflette\\i113880-verrine-betterave-rouge-et-avocat.jpg']}"
Brochettes de lotte,"Cette recette vous est proposée par Dominique Boute, nutritionniste et fondateur de monregimeperso.frVoir plusVoir moins",Variantes,"{'Filet(s)': '400 filets', 'Aubergine(s)': '800 g', 'Tomate(s) cerise(s)': '4', 'Romarin': '4', 'Olives vertes': '1', ""Huile d'olive"": '4 c. à soupe', 'Oignon(s)': '1', 'Carotte(s)': '1', 'Poireau(x)': '1', 'Céleri branche': '0,5', 'Persil': '4 brin(s)', 'Ail': '2 gousse(s)', 'Tomate(s)': '2', 'Eau': '1 l', 'Sel poivre': 'l'}",Total :2 h,Total :2 h,"Étape 1Epluchez et lavez les légumes. Mettez-les dans 1 l d'eau. Faites cuire 20 min à petite ébullition, puis filtrez.
Étape 2Préchauffez le four à 180°C (th.6).
Étape 3Lavez et coupez les aubergines en deux. Incisez la chair en croix.  Enfournez-les 40 min. en les arrosant régulièrement de bouillon de légumes.
Étape 4Pendant ce temps, lavez les tomates et coupez-les en quartiers.
Étape 5Découpez la lotte en gros dés.
Étape 6Montez les brochettes sur les branches de romarin, en alternant les dés de lotte et les quartiers de tomates (ou tomates cerises). Faites les cuire dans une poêle antiadhésive avec 2 c. à soupe d'huile d'olive, 2 à 3 min. sur chaque face.
Étape 7Hachez les olives, arrosez d'huile restante, poivrez et mélangez.
Étape 8Retirez la pulpe des aubergines à l'aide d'une cuillère, mixez-la et assaisonnez-la.
Étape 9Dressez sur des assiettes les brochettes, accompagnées du caviar d'aubergines et de la sauce aux olives.
Étape 10Servez de suite immédiatement !","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i12190-brochettes-de-lotte.jpg', 'alt': 'Brochettes de lotte'}, 'fichiers_telecharges': ['images_tartiflette\\i12190-brochettes-de-lotte.jpg']}"
Smoothie framboise myrtille,"Découvrez ce délicieux smoothie aux fruits rouges pour des matins vitaminés. En effet, ce smoothie framboises myrtilles ne vous laissera pas indifférent. Fruitée et acidulée, cette recette de smoothie saura ravir vos papilles et même ceux de vos enfants. Préparez-le dès le réveil pour un petit déjeuner plein d'énergie et accompagnez-le d'un bol de granola ou d'un bol de muesli pour un petit déjeuner complet et équilibré. Le smoothie contient également du yaourt et des glaçons pour une boisson onctueuse et rafraîchissante.Voir plusVoir moins",Variantes,"{'Framboise(s)': '100 g', 'Myrtille(s)': '80 g', 'Yaourt': '1', 'Lait': '10 cl', 'Sucre en poudre': '15 g'}",Total :5 min,Total :5 min,"Étape 1Mixez les myrtilles, les framboises, le yaourt, le lait et le sucre.
Étape 2Serves frais.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2015/06/25/i94955-smoothie-framboise-myrtille.jpg', 'alt': 'Smoothie framboise myrtille'}, 'fichiers_telecharges': ['images_tartiflette\\i94955-smoothie-framboise-myrtille.jpg']}"
Compote pomme banane,N/A,Variantes,"{'Pomme(s)': '6', 'Banane(s)': '5', 'Sucre vanillé': '1 Sachet'}",Total :40 min,Total :40 min,"Étape 1Pelez et épépinez les pommes, puis découpez-les en petits cubes.
Étape 2Épluchez les bananes et taillez-les en lamelles.
Étape 3Disposez les bananes et les pommes dans une casserole. Parsemez de sucre vanillé et mélangez. Laissez mijoter 30 min.
Étape 4Une fois la compote cuite, passez-la au mixeur ou écrasez-la à la fourchette, puis laissez refroidir.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/09/25/i86105-compote-pomme-banane.jpg', 'alt': 'Compote pomme banane'}, 'fichiers_telecharges': ['images_tartiflette\\i86105-compote-pomme-banane.jpg']}"
Soupe de légumes d'hiver,N/A,Variantes,"{'Pomme(s) de terre': '600 g', 'Carotte(s)': '400 g', 'Navet(s)': '200 g', 'Poireau(x)': '2', 'Cerfeuil': '3 brin(s)', 'Beurre': '80 g', 'Sel': '', 'Poivre': ''}",Total :30 min,Total :30 min,"Étape 1Rincez les poireaux, après avoir ôté les racines et les parties flétries.
Étape 2Coupez-les finement.
Étape 3Dans une cocotte, fondez le beurre, puis faites-y revenir les poireaux.
Étape 4Lavez et épluchez les pommes de terre, les carottes et les navets.
Étape 5Lavez-les avant de les découper en petits cubes.
Étape 6Mettez-les dans la cocotte et arrosez-les avec 1,25 l d'eau.
Étape 7Assaisonnez avec le sel et le poivre.
Étape 8Faites bouillir.
Étape 9Diminuez le feu et couvrez la cocotte.
Étape 10Laissez cuire la soupe durant 30 min.
Étape 11Incorporez-y le reste du beurre.
Étape 12Répartissez dessus le cerfeuil.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/default/default.jpg', 'alt': ""Soupe de légumes d'hiver""}, 'fichiers_telecharges': ['images_tartiflette\\default.jpg']}"
Poêlée de lapin aux olives et champigons façon toscanaise,N/A,Variantes,"{'Lapin': '1,5 kg', 'Tomate(s) pelée(s)': '800 g', 'Olives noires': '100 g', 'Olives vertes': '100 g', 'Huile': '', 'Champignon(s)': '200 g', 'Romarin': '1 branche(s)', 'Thym': '', 'Sel poivre': ''}",Total :1 h 30 min,Total :1 h 30 min,"Étape 1Sur votre planche de cuisine, découpez le lapin en plusieurs morceaux.
Étape 2Mettez une poêle au feu et faites-y chauffez 3 c. à soupe d’huile.
Étape 3Faites-y revenir les morceaux de lapin jusqu'au moment où, ils présentent une couleur dorée.
Étape 4Incorporez ensuite les tomates pelées, les olives, les champignons, le romarin, du thym.
Étape 5Salez, poivrez.
Étape 6Laissez cuire lentement pendant 1h environ.
Étape 7Enlevez ensuite  du feu, puis servez.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2023/04/05/i192307-lapin-aux-olives-et-champignons.jpg', 'alt': 'lapin aux olives et champignons'}, 'fichiers_telecharges': ['images_tartiflette\\i192307-lapin-aux-olives-et-champignons.jpg']}"
Poêlée méridionale,"Embarquez pour un voyage culinaire ensoleillé avec notre poêlée méridionale ! Cette recette met à l’honneur les légumes gorgés de soleil, tels que l’aubergine, la courgette et le poivron, qui se marient à merveille pour offrir une explosion de saveurs. Savourez le parfum méditerranéen du thym et du laurier, qui viendra sublimer chaque bouchée. Cette poêlée est l'accompagnement parfait pour vos grillades ou un plat végétarien savoureux à elle seule.Voir plusVoir moins",Variantes,"{'Aubergine(s)': '1', 'Courgette(s)': '2', 'Poivron(s)': '2', 'Oignon(s)': '1', ""Huile d'olive"": '3 c. à soupe', 'Thym': '', 'Laurier': '', 'Poivre': '', 'Sel': ''}",Total :1 h,Total :1 h,"Étape 1Nettoyez l’oignon avant de l’éplucher. Par la suite, ciselez-le grossièrement.
Étape 2Lavez l’aubergine, les courgettes et les poivrons. Puis, découpez ces légumes en dés de tailles moyennes.
Étape 3Faites revenir à feu vif dans l’huile d’olive tous ces ingrédients.
Étape 4Assaisonnez le tout de sel et de poivre. Ensuite, ajoutez-y le thym et le laurier.
Étape 5Faites mijoter à couvert la préparation durant 45 min.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2024/10/27/i201324-poelee-meridionale.jpg', 'alt': 'Poêlée méridionale'}, 'fichiers_telecharges': ['images_tartiflette\\i201324-poelee-meridionale.jpg']}"
Clafoutis de fromage de chèvre et courgette,N/A,Variantes,"{'Farine': '', 'Œuf(s)': '2', 'Fromage de chèvre': '200 g', 'Courgette(s)': '1', 'Lait': '200 ml', 'Ail et persil': '1 portion(s)', ""Huile d'olive"": '', 'Beurre': '', 'Ciboulette': ''}",Total :40 min,Total :40 min,"Étape 1Préchauffez le four à th.6-7 (200°C).
Étape 2Lavez soigneusement et râpez en gros morceaux la courgette sans l?éplucher.
Étape 3Dans une poêle sur feu vif enduite de 1 c. à café d?huile d?olive, faites revenir la courgette râpée pendant quelques minutes.
Étape 4Joignez-y la portion de tartare, puis mélangez jusqu'à obtenir un mélange homogène.
Étape 5Incorporez la ciboulette.
Étape 6Ensuite dans un saladier, émiettez le fromage de chèvre et cassez-y les oeufs.
Étape 7Ajoutez 1 c. à soupe de farine, puis  travaillez bien le tout.
Étape 8Faites adjoindre la courgette râpée et le lait, puis mélangez encore.
Étape 9Coulez la pâte obtenue dans un moule enduit d?une noix de beurre.
Étape 10Mettez à cuire au four pour 25 min.
Étape 11Servez aussitôt.
Étape 12Préchauffez le four à th.6-7 (200°C).
Étape 13Lavez soigneusement et râpez en gros morceaux la courgette sans l?éplucher.
Étape 14Dans une poêle sur feu vif enduite de 1 c. à café d?huile d?olive, faites revenir la courgette râpée pendant quelques minutes.
Étape 15Joignez-y la portion de tartare, puis mélangez jusqu'à obtenir un mélange homogène.
Étape 16Incorporez la ciboulette.
Étape 17Ensuite dans un saladier, émiettez le fromage de chèvre et cassez-y les oeufs.
Étape 18Ajoutez 1 c. à soupe de farine, puis  travaillez bien le tout.
Étape 19Faites adjoindre la courgette râpée et le lait, puis mélangez encore.
Étape 20Coulez la pâte obtenue dans un moule enduit d?une noix de beurre.
Étape 21Mettez à cuire au four pour 25 min.
Étape 22Servez aussitôt.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/default/default.jpg', 'alt': 'Clafoutis de fromage de chèvre et courgette'}, 'fichiers_telecharges': ['images_tartiflette\\default.jpg']}"
Verrines au surimi,"Cuisine AZ vous présente aujourd’hui, une recette de verrine apero ultra facile et très rapide avec cette verrine de surimi. Composé de mayonnaise maison, de curry et de surimi, cet apéritif vous permettra de recevoir vos convives au pied levé.Voir plusVoir moins",Variantes,"{'Surimi(s)': '150 g', 'Curry en poudre': '10 g', 'Brin de ciboulette ciselé': '10', ""Jaune(s) d'œuf(s)"": '1', 'Moutarde': '1 c. à soupe', 'Huile': '10 cl', 'Sel': '', 'Poivre': ''}",Total :10 min,Total :10 min,"Étape 1Pour réaliser cette verrine facile, commencez par réaliser votre mayonnaise maison. Pour cela versez dans un récipient le jaune d'oeuf et la moutarde. Assaisonnez de sel, poivre et de curry. Mélangez. Puis fouettez la préparation au batteur électrique. En même temps versez votre huile. Au fur à mesure que vous fouettez la préparation, la mayonnaise va s'épaisseur jusqu'à obtenir une crème. Ajoutez à celle-ci la ciboulette ciselée.
Étape 2Fouettez énergiquement le mélange afin d’obtenir une crème bien homogène et onctueuse. Incorporez ensuite, à votre mayonnaise assaisonnée, le surimi émietté.
Étape 3Pour ne pas écraser le surimi, mélangez cette fois-ci très délicatement à l’aide d’une fourchette ou d’une cuillère en bois les ingrédients.  Remplissez 8 verrines de votre préparation. Couvrez-les de film alimentaire et placez-les 10 min au réfrigérateur.
Étape 4Avant de servir, décorez de brins de ciboulette disposés en croix ou piqués au centre de chaque verrine salée. Accompagnez vos entrées de quelques tranches de pain grillé que vous servirez chaud ! Un pur délice.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2015/04/15/i89622-recette-verrines-au-surimi.jpg', 'alt': 'recette-Verrines au surimi'}, 'fichiers_telecharges': ['images_tartiflette\\i89622-recette-verrines-au-surimi.jpg']}"
Pâtes aux légumes du soleil,"Quand arrive la saison estivale, quel plaisir de renouer avec les courgettes, les tomates, les poivrons et les aubergines aux fourneaux ! Enrobées d’une ratatouille minute, ces pâtes aux légumes du soleil concentrent tous les parfums de la cuisine provençale. Délicieuses consommées chaudes, elles peuvent tout aussi bien se manger froides au bureau dans votre lunch box. Un festival de couleurs et de saveurs pour ensoleiller vos torsades ou vos pennes !Voir plusVoir moins",Variantes,"{'Pâtes': '200 g', 'Courgette(s)': '2', 'Aubergine(s)': '1', 'Poivron(s) jaune(s)': '1', 'Tomate(s)': '1', 'Oignon(s)': '1', 'Ail': '2 gousse(s)', 'Herbes de provence': '1 c. à café', ""Huile d'olive"": '2 c. à soupe', 'Gros sel': '1 pincée(s)', 'Sel': '1 pincée(s)', 'Poivre': '1 pincée(s)'}",Total :40 min,Total :40 min,"Étape 1Pelez et hachez l'oignon et l'ail. Nettoyez, épongez et coupez les courgettes et l'aubergine en morceaux. Lavez, épépinez et coupez le poivron en morceaux. Nettoyez, épongez, retirez le pédoncule et coupez la tomate en dés.
Étape 2Faites chauffer l'huile d'olive dans une grande casserole. Faites suer l'oignon jusqu'à ce qu'il soit translucide. Ajoutez les courgettes, l'aubergine, le poivron et la tomate puis laissez cuire 15 min à couvert, en mélangeant régulièrement.
Étape 3Pendant ce temps, faites cuire les pâtes dans une casserole d'eau bouillante salée (au gros sel) en suivant les instructions du paquet. Quand les pâtes sont cuites, égouttez-les et versez-les dans un saladier. Ajoutez les légumes, les herbes de Provence, du sel et du poivre et mélangez bien le tout.
Étape 4Servez aussitôt.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2015/07/20/i93488-pates-aux-legumes-du-soleil.jpg', 'alt': 'Pâtes aux légumes du soleil'}, 'fichiers_telecharges': ['images_tartiflette\\i93488-pates-aux-legumes-du-soleil.jpg']}"
"Tourte au poulet, poireaux et champignons","Voilà une excellente façon de finir avec brio les restes du poulet ! Recette simplissime, ultra-rapide et délicieuse, la tourte au poulet, aux poireaux et aux champignons sera parfaite pour un petit diner gourmet, accompagné d'une bonne salade verte. Nous vous la conseillons vivement !Voir plusVoir moins",Variantes,"{'Pâte feuilletée(s)': '2', 'Restes de poulet': '', 'Jambon fumé': '5 tranche(s)', 'Poireau(x)': '2', 'Oignon(s)': '1', 'Vin blanc': '10 cl', 'Œuf(s)': '2', 'Crème fraîche': '40 cl', 'Gruyère râpé': '70 g', 'Paprika': '1 pincée(s)', 'Sel poivre du moulin': ''}",Total :1 h,Total :1 h,"Étape 1Préchauffez le four th.6 (180°C).
Étape 2Étalez une pâte feuilletée dans un plat à tarte allant au four.
Étape 3Coupez les poireaux en fines lamelles, émincez l'oignon (ou les échalotes) et les champignons. Coupez les restes de poulet en petits morceaux. Faites dorer l'oignon dans une poêle avec un peu de beurre, ajoutez le poireau et les champignons et laissez revenir pendant une dizaine de minutes à couvert puis salez et poivrez. Ensuite, ajoutez le paprika et déglacez avec le vin blanc, remuez le tout et déposez-le sur la pâte déjà étalée. Ajoutez les restes de poulet et le gruyère. Faites revenir le jambon fumé ou le magret fumé coupés en petits morceaux dans une poêle, et éparpillez-les également sur la pâte feuilletée. Battez l'oeuf et ajoutez-y la crème fraîche. Ajoutez ce mélange sur votre préparation. Recouvrez avec la 2ème pâte feuilletée.
Étape 4Faites un orifice de deux cm environ pour la cheminée et décorez la pâte avec la pointe du couteau. Battez le jaune d'oeuf et avec un pinceau, badigeonnez le dessus pour qu'il ait une jolie coloration.
Étape 5Enfournez pendant 30 à 45 min.
Étape 6Servez chaud avec une salade de saison.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/04/28/i79749-tourte-au-poulet-poireaux-et-champignons.jpg', 'alt': 'tourte au poulet poireaux et champignons'}, 'fichiers_telecharges': ['images_tartiflette\\i79749-tourte-au-poulet-poireaux-et-champignons.jpg']}"
Poulet au curry Weight Watchers Cookeo,"Une recette avec de douces épices pour remplir la maison de délicieuses odeurs. Ce poulet au curry Weight Watchers Cookeo est prêt en 10 minutes. Vous comptez 9PP par portion. Un repas qui plaira à toute la famille. Réalisez-le, également pour un dîner entre amis, vos invités seront ravis.Voir plusVoir moins",Variantes,"{'Blanc(s) de poulet': '500 g', 'Oignon(s)': '1', 'Pulpe de tomate': '240 g', 'Lait de coco': '100 ml', 'Curry en poudre': '2 c. à café', 'Riz': '150 g', 'Eau': '800 ml', 'Sel': '', 'Poivre': ''}",Total :15 min,Total :15 min,"Étape 1Coupez en morceaux le blanc de poulet. Pelez et émincez l’oignon.
Étape 2Dans la cuve du Cookeo, faites revenir le poulet avec l’oignon en fonction dorer pendant 2 minutes
Étape 3Ajoutez la pulpe de tomate, le lait de coco, le curry, salez, poivrez, le riz et l’eau puis lancez la cuisson sous pression pour 10 minutes. Mélangez et servez aussitôt.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2018/02/14/i135704-poulet-au-curry-weight-watchers-cookeo.jpeg', 'alt': 'Poulet au curry Weight Watchers Cookeo'}, 'fichiers_telecharges': ['images_tartiflette\\i135704-poulet-au-curry-weight-watchers-cookeo.jpeg']}"
Papillotes de lieu noir,"Les papillotes sont un bon moyen de cuire les aliments tout en préservant leurs vitamines grâce au papier d'aluminium qui fait office de cuisson à l'étouffé. Réalisez ainsi cette délicieuse recette de papillotes de lieu noir simplement composée de fenouil, poivron, poireau, échalote et épices pour accompagner vos filets de poisson.Voir plusVoir moins",N/A,"{'Lieu noir(s)': '3 filets', 'Tomate(s)': '1', 'Fenouil': '0,25', 'Poivron': '0,5', 'Blanc(s) de poireau(x)': '1', 'Échalote(s)': '1', 'Riz': '3 c. à soupe', 'Crème liquide': '', 'Curcuma en poudre': '', ""Huile d'olive"": '', 'Sel poivre': ''}",Total :45 min,Total :45 min,"Étape 1Préchauffez le four à 180°C.
Étape 2Nettoyez la tomate, le fenouil et le blanc de poireau puis découpez-les en julienne. Nettoyez et retirez les pépins du demi poivron. Coupez-le aussi en julienne. Pelez et hachez finement l'échalote. Placez 3 feuilles de papier aluminium sur un plan de travail.
Étape 3Déposez sur chacune des feuilles un filet de lieu noir. Répartissez la julienne de légumes et l'échalote hachée sur le dessus des filets de poisson puis versez un filet d'huile d'olive. Ajoutez 1 c. à soupe de riz sur le dessus de chaque garniture, en l'enfonçant un peu dans la julienne de légumes. Salez et poivrez à votre goût.
Étape 4Ajoutez enfin 3 c. à soupe de crème liquide sur chaque garniture et saupoudrez de curcuma en poudre. Fermez les feuilles de papier aluminium afin de former les papillotes. Déposez-les sur une grille de four.
Étape 5Enfournez et faites cuire les papillotes de lieu noir pendant 30 minutes. Servez et dégustez les papillotes de lieu noir dès la sortie du four.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/04/28/i307-papillotes-de-lieu-noir.jpg', 'alt': 'papillotes de lieu noir'}, 'fichiers_telecharges': ['images_tartiflette\\i307-papillotes-de-lieu-noir.jpg']}"
Mini cocottes bananes et ananas flambés au Cointreau,"Le commentaire nutritionnel vous est proposé par Dominique Boute, nutritionniste et fondateur de monregimeperso.frVoir plusVoir moins",Variantes,"{'Orange(s)': '2', 'Banane': '3', 'Ananas Victoria': '2', 'Citron(s) jaune(s)': '1', 'Beurre': '150 g', 'Sucre en poudre': '60 g', 'Cointreau': '10 cl'}",Total :30 min,Total :30 min,"Étape 1Pressez les oranges, pelez les bananes, coupez-les en trois et citronnez-les.
Étape 2Epluchez les ananas, retirez les yeux et coupez-le en tranches puis en morceaux.
Étape 3Mettez les mini-cocottes avec une noix de beurre au four th.3 (90°C).
Étape 4Faites fondre 100 g de beurre dans une poêle à revêtement antiadhésif et posez-y les bananes avec les morceaux d’ananas. Faites-les dorer des deux côtés puis saupoudrez-les de sucre, laissez-les caraméliser un peu avant d’ajouter le jus d’orange. Portez à ébullition, et laissez mijoter 3 minutes.
Étape 5Versez le Cointreau dans une petite casserole et mettez sur feu vif.
Étape 6Sortez les mini-cocottes du four, posez-les sur une assiette.
Étape 7Répartissez les fruits avec le jus dans les mini-cocottes. Arrosez-les de Cointreau bouillant.
Étape 8Chaque convive fera flamber sa mini-cocotte.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i44352-cocottes-bananes-ananas.jpg', 'alt': 'Cocottes bananes ananas'}, 'fichiers_telecharges': ['images_tartiflette\\i44352-cocottes-bananes-ananas.jpg']}"
Gambas julie,"On s'en met plein les doigts avec cette recette, mais ça vaut le coup !
Certaines utilisent le sachet plastique. Trempez les gambas dans l'œuf. Et dans un sachet plastique, mettez la chapelure et les noisette, mettez-y toutes les gambas et secouez énergiquement.Voir plusVoir moins",N/A,"{'Gambas': '2', 'Noisette en poudre(s)': '1 sachet(s)', 'Chapelure': '', 'Œuf(s)': '2', 'Beurre': '', 'Raisin(s)': '', 'Sel poivre': ''}",Total :15 min,Total :15 min,"Étape 1Dans un saladier mélangez le sachet de noisette et la chapelure. Dans un autre, les 2 œufs
Étape 2Commencez par tremper les gambas dans l'œuf, ensuite dans le mélange chapelure, noisette.
Étape 3Répétez cette opération pour chaque gambas.
Étape 4Faites chauffer un peu de beurre et d'huile et cuisez-y les gambas environ 2 à 3 min, de chaque côté.
Étape 5Salez et poivrez à votre convenance.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2015/06/25/i12903-gambas-julie.jpg', 'alt': 'Gambas julie'}, 'fichiers_telecharges': ['images_tartiflette\\i12903-gambas-julie.jpg']}"
Salade de jambon San Daniele et Grana Padano aux courgettes et melon,N/A,Variantes,"{'Courgette(s)': '8', 'Melon': '1', 'Jambon': '4 tranche(s)', 'Grana padano': 'lamelles', ""Huile d'olive extra vierge"": '', 'Sel poivre': ''}",Total :10 min,Total :10 min,"Étape 1Lavez, essuyez et coupez les courgettes en julienne.
Étape 2Pelez le melon, enlevez les graines et utilisez une cuillère à melon pour faire de petites boules.
Étape 3Coupez le jambon en julienne et mélangez-le avec les courgettes en ajoutant l’huile, le sel et le poivre.
Étape 4Posez la salade ainsi obtenue au centre du plat, garnissez avec les fines lamelles de Grana Padano et les boules de melon.
Étape 5Ajoutez le poivre moulu et l’huile d’olive extra vierge selon votre goût.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i23833-salade-de-jambon-san-daniele-et-grana-padano-aux-courgettes-et-melon.jpg', 'alt': 'Salade de jambon San Daniele et Grana Padano aux courgettes et melon'}, 'fichiers_telecharges': ['images_tartiflette\\i23833-salade-de-jambon-san-daniele-et-grana-padano-aux-courgettes-et-melon.jpg']}"
Omelette aux petits légumes grillés,"Cette recette vous est proposée par Dominique Boute nutritionniste et fondateur de monregimeperso.fr

Valeur calorique pour 1 personne: 331 kcalVoir plusVoir moins",Variantes,"{'Œuf(s)': '8', 'Poivron(s) jaune(s)': '0,5', 'Poivron(s) rouge(s)': '0,5', 'Courgette(s)': '120 g', 'Aubergine(s)': '120 g', 'Pomme(s) de terre': '8', ""Huile d'olive"": '3 c. à soupe', 'Basilic': '', 'Sel poivre': ''}",Total :1 h 25 min,Total :1 h 25 min,"Étape 1Préchauffez le four en position grill.
Étape 2Lavez les légumes.
Étape 3Épépinez les poivrons et coupez-les en dés.
Étape 4Taillez l’aubergine et la courgette en tranches dans le sens de la longueur.
Étape 5Couvrez la plaque du four de papier aluminium. Disposez tous les légumes sur la grille et arrosez-les d’un filet d’huile d’olive. Salez et poivrez.
Étape 6Mettez les pommes de terre à cuire au four de 45 min à 1h dans des papillotes.
Étape 7Pendant ce temps, battez les œufs en omelette. Chauffez l’huile dans une poêle anti-adhésive versez l’omelette et les légumes. Faîtes cuire quelques minutes et servez avec les pommes de terre au four.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i110729-omelette-aux-legumes-grilles.jpg', 'alt': 'Omelette aux légumes grillés'}, 'fichiers_telecharges': ['images_tartiflette\\i110729-omelette-aux-legumes-grilles.jpg']}"
