Title,Ingredients,Time,Preparation,Image URL
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
Cuisson d'un chapon au four,ChaponFines herbesAilBeurreEauVin blanc,Total :3 h 10 min,"Étape 1Sélectionnez un chapon d’une taille adaptée à votre nombre de convives. Pour 6 personnes, une volaille de 2,8 kg sera suffisante.
Étape 2Avant de commencer la cuisson, sortez votre chapon afin de le laisser à température ambiante environ 2 heures. Cela lui permettra de conserver tout son moelleux.
Étape 3Procédez à la préparation de la volaille si vous l’avez achetée avec sa tête et ses pattes. Utilisez un couteau bien aiguisé pour les trancher sans hésitation.
Étape 4Assaisonnez votre chapon avec les herbes de votre choix. Vous pouvez glisser un mélange d’herbes directement sous sa peau et mettre une gousse d’ail à l’intérieur. Badigeonnez la peau de saindoux ou de beurre fondu pour qu’elle soit bien dorée et croustillante après cuisson.
Étape 5Posez le chapon dans un plat allant au four. Arrosez d’un mélange d’eau et de vin. Préchauffez votre four à 180°C.
Étape 6Faites cuire votre volaille environ 3 heures. N’oubliez pas de la retourner très régulièrement en l’arrosant de son jus de cuisson.
Étape 7Lorsque le jus de cuisson est transparent et non plus rosé : votre chapon est cuit. Sortez-le du four, couvrez-le d’une feuille de papier aluminium et patientez une vingtaine de minutes avant de le déguster."
Crêpes faciles,Farine250 gLait50 clŒuf(s)3Sucre en poudre50 gSucre vanillé1 sachet(s)Sel1 pincée(s),Total :10 min,"Étape 1Dans un saladier, mélangez la farine, le sel et le sucre en poudre. Creusez ensuite un puits pour y casser les œufs. Mélangez en effectuant des cercles du centre vers l’extérieur. Versez ensuite le lait petit à petit, puis ajoutez le sucre vanillé. Laissez reposer 30 min.
Étape 2Avec un coton, badigeonnez d’huile le fond de votre crêpière et faites-la chauffer à feu vif. Une fois bien chaude, versez-y une louche de pâte et laissez cuire 3 min de chaque côté. Procédez ainsi jusqu’à épuisement de la pâte.
Étape 3Empilez les crêpes sur une assiette, en les recouvrant éventuellement d’un torchon propre pour les conserver au chaud !"
Noix de Saint Jacques juste poelées,Saint Jacques(es)16 noixHuile d'olive2 c. à soupeBeurre1 noixSel poivre,Total :15 min,"Étape 1Dans une grande poêle anti-adhésive, faites chauffer le beurre et l'huile sur feu vif.
Étape 2Une fois que la poêle est bien chaude, posez doucement les noix dans la poêle. Faites-les cuire 1 min sur la première face.
Étape 3Retournez-les et faites cuire la seconde face pendant 1 min. Salez et poivrez à votre convenance. Servez les Saint-Jacques sans attendre et dégustez-les immédiatement."
Tartiflette facile et rapide,"Pomme de terre à chair ferme1,5 kgReblochon500 gallumette(s) de lardon fumé150 gCrème fraîche épaisse100 gVin blanc sec1 verre(s)Oignon(s)3Huile3 c. à soupeGros sel1 c. à soupePoivre blanc10 grainNoix de muscade1 pincée(s)",Total :1 h 5 min,"Étape 1Lavez soigneusement les pommes de terre. Remplissez un grand faitout d’eau et jetez-y le gros sel. Plongez les pommes de terre dans l’eau et faites-les cuire pendant 20 min après la reprise de l’ébullition.
Étape 2Pelez et émincez les oignons, en veillant bien à ôter le germe. Dans une poêle, faites chauffer l’huile et faites-y revenir les oignons émincés. Lorsqu’ils deviennent translucides, ajoutez-y les allumettes de lardons fumés. Poursuivez la cuisson en remuant régulièrement à l’aide d’une cuillère en bois, jusqu’à ce que les oignons et les lardons soient bien dorés. Déglacez la poêle avec le vin blanc et poursuivez la cuisson pendant 5 min. Réservez.
Étape 3Préchauffez le four th.6-7 (200°C). Découpez le reblochon en longues lamelles. Dans un pilon, écrasez les grains de poivre blanc. Pelez les pommes de terre cuites et coupez-les en grosses rondelles.
Étape 4Beurrez un grand plat à four ou de petits contenants individuels. Saupoudrez de noix de muscade et parsemez de poivre blanc concassé. Répartissez-y les pommes de terre, puis les oignons et les lardons dorés au vin blanc. Recouvrez le tout de crème fraîche, puis étalez-y les lamelles de fromage. Enfournez la tartiflette pendant 30 min, jusqu’à ce que le reblochon forme une croûte bien dorée et gratinée.
Étape 5Servez votre délicieuse tartiflette bien chaude, dès la sortie du four, accompagnée d’une belle salade verte à la vinaigrette et d’un verre de vin blanc de Savoie."
Lasagnes à la bolognaise facile,"Pour la lasagne maison :Bœuf haché300 gFeuille(s) de lasagne0,5 paquet(s)Pulpe de tomate800 gOignon(s)1Ail1 GousseGruyère râpé100 gParmesan râpé50 gHuile d'olive4 c. à soupeBeurre20 gHerbes de provence1 c. à soupeSucre1 c. à soupeSel2 pincée(s)Poivre2 pincée(s)
Pour la sauce béchamel :Farine70 gBeurre70 gLait50 clNoix de muscade1 pincée(s)Sel1 pincée(s)Poivre1 pincée(s)",Total :1 h 20 min,"Étape 1Pelez et émincez finement l'oignon et la gousse d'ail. Faites-les revenir à feu doux dans une casserole avec 2 c. à soupe d'huile d'olive jusqu'à ce que l'oignon devienne translucide. Ajoutez la pulpe de tomate, le sucre, les herbes de Provence, le sel et le poivre. Laissez mijoter à feu doux pendant 20 minutes.
Étape 2Pendant que la sauce tomate mijote, faites revenir le bœuf haché dans une poêle avec 2 c. à soupe d'huile d'olive pendant 3 à 5 minutes à feu moyen. Salez, poivrez, puis mélangez-le à la sauce tomate. Laissez mijoter ensemble quelques minutes supplémentaires.
Étape 3Dans une casserole, faites fondre 70 g de beurre. Ajoutez la farine hors du feu et mélangez au fouet. Versez le lait progressivement en fouettant pour éviter les grumeaux. Replacez sur feu doux et laissez épaissir tout en mélangeant régulièrement. Assaisonnez avec du sel, du poivre et une pincée de noix de muscade.
Étape 4Préchauffez le four à 180°C (th.6). Graissez le fond et les parois d’un plat à gratin avec un peu de beurre fondu. Déposez une première couche de feuilles de lasagne, nappez de béchamel, puis ajoutez une couche de garniture à la sauce tomate et au bœuf. Parsemez de gruyère râpé. Répétez l'opération jusqu'à épuisement des ingrédients, en terminant par une couche de béchamel et du parmesan râpé.
Étape 5Enfournez le plat de lasagnes pendant environ 45 minutes, jusqu’à ce que le dessus soit bien doré et gratiné. Vérifiez la cuisson des pâtes en piquant avec la pointe d’un couteau.
Étape 6Laissez reposer les lasagnes hors du four pendant 5 à 10 minutes pour faciliter la découpe. Servez en belles portions rectangulaires, accompagné d'une salade verte."
Pâte à gaufres,Farine250 gLait50 clBeurre fondu20 gŒuf(s)2Sucre40 gLevure chimique1 SachetSel1 pincée(s),Total :15 min,"Étape 1Dans un saladier, versez la farine, le sucre en poudre et la levure chimique. Mélangez à l'aide d'une cuillère en bois. Creusez un puits au centre.
Étape 2Cassez les œufs dans un bol et fouettez-les à l'aide d'une fourchette. Versez dans le puits et mélangez énergiquement à l'aide d'un fouet.
Étape 3Versez progressivement le lait tout en continuant de fouetter. Ajoutez le beurre préalablement fondu ainsi que le sel. Mélangez bien.
Étape 4Chauffez et huilez légèrement votre gaufrier. Versez une louche de pâte. Faites cuire les gaufres pendant 5 min. Renouvelez l'opération jusqu'à épuisement de la pâte."
Verrine de mousse d'avocats et saumon fumé,"Saumon fumé9 tranche(s)Avocat(s)3Crème fraîche épaisse25 clJus de citron0,5Aneth0,5 bouquet(s)SelPoivre",Total :15 min,"Étape 1Lavez et séchez l’aneth avec du papier absorbant. Pelez les avocats et coupez leur chair en morceaux.
Étape 2Placez le tout dans le bol de votre mixeur.
Étape 3Ajoutez la crème fraîche épaisse, le jus de citron. Salez et poivrez.  puis mixez pour obtenir une mousse onctueuse.
Étape 4Coupez ensuite les tranches de saumon fumé en très petits morceaux.
Étape 5Dressez les verrines en répartissant la mousse puis, par-dessus, les morceaux de saumon fumé.
Étape 6Réservez au réfrigérateur jusqu’au moment de servir."
Blanquette de veau à l'ancienne,"Sauté de veau1 kgChampignon(s) de paris400 gCarotte(s)2Blanc(s) de poireau(x)3Branche(s) de céleri1Citron(s)1Oignon(s)1Échalote(s)1Ail1 GousseJaune(s) d'œuf(s)2Farine50 gBeurre70 gCrème fraîche3 c. à soupeVin blanc sec4 c. à soupeBouquet(s) garni(s) (persil, thym, laurier)1Clou(s) de girofle4Persil plat4 brin(s)Sel5 pincée(s)Poivre2 pincée(s)",Total :2 h 15 min,"Étape 1Pelez les carottes, l'ail, l'échalote et l'oignon. Piquez l'oignon avec les clous de girofle et coupez-le en 4. Coupez l'échalote en deux et hachez l'ail. Tranchez les carottes, le céleri et les blancs de poireau en rondelles. Nettoyez et émincez les champignons grossièrement. Tranchez la viande en morceaux d'environ 70 g.
Étape 2Dans une cocotte, une marmite ou un faitout, versez 2 l d'eau, puis plongez-y les morceaux de viande et portez à ébullition pendant maximum 1 à 2 min pour les blanchir (les débarrasser de leurs impuretés et de leur amidon). Videz alors le contenu de la cocotte dans une passoire afin de jeter l'eau de cuisson tout en récupérant les morceaux de veau. Passez la viande sous l'eau froide, égouttez-la, puis remettez-la dans le fond de la cocotte.
Étape 3Ensuite, ajoutez l'oignon, l'échalote, l'ail, le poireau, le céleri, les carottes et le bouquet garni. Salez et poivrez. Mouillez avec le vin puis ajoutez de l'eau de façon à immerger la viande et les légumes. Couvrez, portez à ébullition, puis baissez le feu et laissez mijoter environ 1h30 à petits frémissements.
Étape 4Pendant la cuisson de la viande, faites revenir dans une poêle les champignons (environ 10 min à feu moyen), avec 20 g de beurre et les 3/4 du jus du citron.
Étape 5Puis préparez un roux blond : dans une casserole, faites fondre le reste de beurre, saupoudrez-le avec la farine, mélangez vivement le tout au fouet jusqu'à ce que le beurre ait été entièrement absorbé et que le tout brunisse légèrement, puis stoppez la cuisson et laissez refroidir.
Étape 6Une fois que la viande est cuite, versez le contenu de la cocotte dans une fine passoire de façon à filtrer le bouillon de cuisson dans un saladier. Rallumez le feu sous la casserole contenant le roux, versez le bouillon en plusieurs fois et fouettez en permanence pour y délayer le roux, faire épaissir la sauce et la porter à ébullition.
Étape 7Pour finir, remettez la viande et les légumes (sans les aromates) dans la cocotte, ajoutez les champignons poêlés, mélangez le tout à la sauce et réchauffez pendant 10 à 15 min.
Étape 8Au moment de servir, mélangez la crème et les jaunes d'œufs, puis incorporez ce mélange à la sauce, en mélangeant sans arrêt pour ne pas laisser bouillir. Parfumez avec le reste du jus de citron, puis disposez dans un plat creux et décorez avec les brins de persil."
Recette de la galette des rois façon Cédric Grolet,"Pour le beurre manié :Beurre sec900 gFarine T55225 gFarine T45225 gSel20 gEau froide25 cl
Pour la détrempe :Eau180 gVinaigre blanc3 gSel20 gFarine T55420 gBeurre sec140 g
Pour la créme d'amande :Poudre d'amande80 gBeurre mou64 gSucre glace50 gŒuf(s)1Maïzena11 gLait d'amande(s) sans sucre35 gCrème liquide113 g",Total :1 h 40 min,"1 : Pour le beurre manié :Dans la cuve d’un batteur muni de la feuille, mélangez les farines avec le beurre. Amalgamez sans donner trop de corps à la pâte.
Formez un bloc homogène et réservez au frais.
2 : Pour la détrempe :Mélangez l’eau, le vinaigre blanc et la fleur de sel jusqu’à dissolution. Versez dans le fond de la cuve du batteur.
Ajoutez la farine et le beurre sec tempéré. Mélangez au pétrin jusqu’à ce que la pâte soit homogène sans la travailler excessivement.
Laissez reposer 2 heures au réfrigérateur.
3 :  Pour la frangipane :Mélangez le beurre mou, le sucre glace et la poudre d’amandes. Ajoutez les œufs un à un, la maïzena, les grains de vanille et le rhum. Incorporez délicatement 50 g de crème pâtissière pour rendre l’appareil plus onctueux.
4 : Pâte feuilletée inversée :Sortez le beurre manié 10 minutes avant la détrempe. Abaissez le beurre manié à 3 cm d’épaisseur.
Enveloppez la détrempe avec le beurre manié, puis réalisez deux tours simples. Laissez reposer 1 journée au réfrigérateur.
Répétez cette opération deux fois supplémentaires, en laissant 1 journée de repos entre chaque série de 2 tours. Vous devez obtenir 6 tours simples.
5 : Pour la créme d'amande :Préchauffez le four à 180 °C (th.6). Étalez la poudre d’amandes sur une plaque et faites-la torréfier 30 minutes. Laissez refroidir.
Réalisez un beurre noisette avec la moitié du beurre dans une casserole. Laissez refroidir et montez-le au batteur avec le beurre restant.
Ajoutez le sucre glace, la poudre à crème et la poudre d’amandes torréfiée en fouettant.
Incorporez progressivement l’œuf, le lait d’amande, puis la crème liquide montée pour obtenir une crème aérienne et homogène.
6 : Pour le montage :Abaissez la pâte feuilletée et découpez deux disques : un de 18 cm et un de 20 cm.
Sur le disque de 18 cm, étalez successivement : la pâte d’amande (50 g), la moitié de la crème d’amandes (150 g), les amandes bâtonnets torréfiés (40 g), et le reste de la crème d’amandes (130 g).
Badigeonnez le contour avec du jaune d’œuf, puis recouvrez avec le disque de 20 cm. Soudez les bords en pressant délicatement.
7 : Pour la cuisson :Retaillez la galette avec un cercle de 16 cm et retournez-la.
Dorez la surface avec un mélange de jaune d’œuf et d’eau. Laissez sécher, puis dorez une seconde fois. Rayez la surface avec la pointe d’un couteau.
Faites cuire 10 minutes à 180 °C (th.6), puis 30 minutes à 160 °C (th.5-6)."
Galette des rois à la poire et amande de Cyril Lignac,Pâte feuilletée(s)2Poudre d'amande100 gSucre en poudre80 gBeurre mou80 gŒuf(s)2Poire William(s)2Jus de citron1 c. à soupe,Total :55 min,"1 : Pour la crème d’amande :Mélangez le beurre mou et le sucre dans un bol jusqu’à obtenir une texture crémeuse.
Ajoutez les œufs un à un en mélangeant bien.
Incorporez la poudre d’amandes et mélangez jusqu’à homogénéité. Réservez.
2 : Pour les poires :Épluchez, épépinez et coupez les poires en fines lamelles.
Arrosez-les avec le jus de citron pour éviter qu’elles ne noircissent.
Saupoudrez-les de cannelle si vous souhaitez une touche épicée.
3 : Pour le montage :Étalez un disque de pâte feuilletée sur une plaque recouverte de papier cuisson.
Répartissez la crème d’amande sur le disque en laissant une bordure de 2 cm.
Disposez les lamelles de poire en rosace par-dessus la crème d’amande.
Placez la fève.
Humidifiez les bords avec un peu d’eau et recouvrez avec le second disque de pâte.
Soudez les bords et chiquetez-les à l’aide d’un couteau.
Dorez le dessus avec le jaune d’œuf et dessinez des motifs décoratifs.
4 : Pour la cuisson :Préchauffez le four à 200 °C (th. 6/7).
Enfournez la galette pour 40 minutes, jusqu’à ce qu’elle soit bien dorée.
Laissez refroidir légèrement avant de servir."
Pâte à pizza light et rapide,PréparationFarine200 gYaourt(s) nature(s)1 mgJaune(s) d'œuf(s)1,Total :5 min,"Étape 1Mélangez la farine, le yaourt et le jaune duf, jusqu?au l?obtention d?une pâte uniforme.
Étape 2Recouvrez la pâte d?un film adhésif.
Étape 3Réservez durant 2h.
Étape 4Mélangez la farine, le yaourt et le jaune duf, jusqu?au l?obtention d?une pâte uniforme.
Étape 5Recouvrez la pâte d?un film adhésif.
Étape 6Réservez durant 2h."
Cuisson du boudin blanc au four,Boudin blanc(s)BeurreSelPoivrePomme(s),Total :25 min,"Étape 1Avec une fourchette ou un couteau, piquez vos boudins. En faisant quelques trous, vous permettrez au jus de s’écouler facilement lors de la cuisson. Ainsi, ils n’éclateront pas.
Étape 2Faites chauffer le four à 180°C.
Étape 3Dans un plat allant au four, disposez l’accompagnement souhaité pour vos boudins : pommes, pommes de terre…
Étape 4Déposez vos boudins sur la garniture.
Étape 5Ajoutez un peu de beurre pour apporter de la matière grasse et faire dorer vos boudins.
Étape 6Assaisonnez avec du sel et du poivre.
Étape 7Laissez cuire environ 20 minutes."
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
N/A,,N/A,
Wok de poulet au curry et lait de coco,"Blanc(s) de poulet300 gTomate(s) pelée(s)1 boîte(s)Oignon(s)1Ail1 gousse(s)Lait de coco1 boîte(s)Curry en poudre3 c. à soupeHuile d'olive2 c. à soupeCoriandre fraîchebrin(s)Sel, poivre",Total :35 min,"Étape 1Découpez le blanc de poulet en petits cubes. Pelez et hachez l’oignon et l’ail. Faites chauffer l’huile dans un wok sur feu vif et faites-y revenir les cubes de poulet pendant 3 à 4 min, en remuant bien, jusqu’à ce qu’ils soient dorés. Ajoutez l’oignon, l’ail et les tomates pelées avec leur jus. Poursuivez la cuisson pendant 2 à 3 min en mélangeant fréquemment.
Étape 2Baissez le feu à feu moyen, puis ajoutez le lait de coco et le curry en poudre, du sel et du poivre. Laissez cuire 5 à 10 min en mélangeant régulièrement, jusqu’à ce que le lait de coco épaississe. Pendant ce temps, lavez, épongez et ciselez les brins de coriandre fraîche.
Étape 3Quand le wok de poulet au curry et au lait de coco est prêt, servez-le de suite parsemé de coriandre fraîche ciselée. Accompagnez-le de riz basmati ou de tagliatelles fraîches."
